Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
新サイト要件最終化/テンプレ設計,10/14/2025,,,True,"範囲定義・優先度確定・主要テンプレのモック完成｜所要時間: 4h",""
トップ/カテゴリ/記事テンプレ実装完了,10/15/2025,,,True,"PC/スマホ両対応・クリティカルパスのSSR/ISR確認｜所要時間: 8h",""
検索/人気/ソート実装完了,10/16/2025,,,True,"検索UX・人気記事(計測連動)・ソート/日数フィルタ実装とQA｜所要時間: 6h",""
Sanityスキーマ凍結/GROQ最終化,10/17/2025,,,True,"スキーマ/インデックス/主要GROQクエリ確定・境界条件確認｜所要時間: 4h",""
WXR→Sanity取込リハーサル完了,10/18/2025,,,True,"画像アセット/内部リンク/本文ブロック生成の整合性チェック｜所要時間: 6h",""
301対応表凍結/サンプル検証,10/19/2025,,,True,"既存URL→新URLの301到達性をサンプルで実測｜所要時間: 3h",""
SEO/OG/構造化/robots・sitemap最終化,10/20/2025,,,True,"メタ/OGP/Schema/robots/sitemap最終確認｜所要時間: 4h",""
広告(ads.txt/スロット)最終化,10/21/2025,,,True,"ads.txt反映・広告コンポーネント/ポリシー遵守確認｜所要時間: 3h",""
アクセシビリティ/表示崩れQA(1st),10/22/2025,,,True,"キーボード操作/コントラスト/主要デバイス崩れ確認｜所要時間: 4h",""
計測/GA4/SearchConsole連携確認,10/23/2025,,,True,"PV/イベント/サイトマップ送信/検出状況確認｜所要時間: 3h",""
互換性QA(2nd)/バグ修正,10/24/2025,,,True,"主要ブラウザ/OS挙動再確認と修正｜所要時間: 6h",""
UAT/合意・リリース可否判断,10/25/2025,,,True,"関係者レビュー・Go/NoGo決定｜所要時間: 2h",""
セキュリティ/CSP(Report-Only)適用,10/26/2025,,,True,"ヘッダ適用・CSPレポートオンリーで誤検知確認｜所要時間: 3h",""
コンテンツ最終レビュー/編集ガイド更新,10/27/2025,,,True,"見出し/リンク/画像代替/誤字・内部リンク再点検｜所要時間: 4h",""
最終QA/バグ消化/ロールバックリハ,10/28/2025,,,True,"残課題Close・切替戻し手順の通し確認｜所要時間: 4h",""
事前バックアップ/ドメインReady/TTL確認,10/29/2025,,,True,"WP/Sanityバックアップ・Vercel Domains=Ready・TTL=300維持｜所要時間: 2h",""
[カットオーバー] 事前チェック(Preview/主要ページ),10/30/2025,09:00,10/30/2025,09:15,False,"vercel.appで200/表示・メタ/OG/構造化再確認｜所要時間: 0.25h",""
[カットオーバー] ConoHaでDNS切替(@/www),10/30/2025,09:15,10/30/2025,09:25,False,"@=216.198.79.1 / www=CNAME=…vercel-dns-017.com、AAAA置かない｜所要時間: 0.17h",""
[カットオーバー] 伝播監視(dig),10/30/2025,09:25,10/30/2025,09:35,False,"権威/1.1.1.1/8.8.8.8 でA/CNAME反映確認｜所要時間: 0.17h",""
[カットオーバー] HTTP/HTTPS確認(curl),10/30/2025,09:35,10/30/2025,09:45,False,"http→308/https、Vercelヘッダ、/ads.txt 200確認｜所要時間: 0.17h",""
[カットオーバー] スモークテスト,10/30/2025,09:45,10/30/2025,10:00,False,"検索/カテゴリ/記事/画像/内部リンク/構造化/サイトマップ｜所要時間: 0.25h",""
[安定化] TTLを3600へ戻す,10/30/2025,14:00,10/30/2025,14:15,False,"@/www のTTLを300→3600へ｜所要時間: 0.25h",""
[フォロー] 終業前ヘルスチェック,10/30/2025,17:00,10/30/2025,17:15,False,"エラー/計測/広告/サーチコンソール健全性確認｜所要時間: 0.25h",""
